Zone,Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,PIB par habitant,Stabilité politique,Population,distance(km),ratio_pro_volailles
Belgique,12.65,4.57,152.0,656.0,338.0,50442.3,0.43,11419.748,262.3845,3.7425752343364582
Belize,25.69,8.26,19.0,0.0,0.0,7193.6,0.04,375.769,8664.439,9.969602145730889
Bolivie (État plurinational de),36.0,11.43,429.0,1.0,1.0,8423.7,-0.28,11192.855,10075.46,14.705263157894736
Bosnie-Herzégovine,16.7,5.66,55.0,8.0,10.0,13753.8,-0.35,3351.525,1352.463,4.847325015859591
Botswana,3.39,1.19,7.0,0.0,3.0,17253.7,1.02,2205.08,8522.764,1.6271316638500535
Brésil,48.03,15.68,9982.0,4223.0,3.0,14524.6,-0.42,207833.823,8732.79,15.35732364916914
Bulgarie,22.06,8.74,157.0,45.0,108.0,21387.3,0.33,7102.444,1760.707,8.614977761750211
Burkina Faso,2.27,0.77,46.0,-2.270000000000003,0.0,2044.4,-0.93,19193.234,4082.87,0.9007623554153523
Bélarus,27.98,9.41,265.0,152.0,21.0,18280.2,-0.05,9450.231,1823.709,8.10172193877551
Bénin,14.4,4.98,161.0,0.0,123.0,3044.5,0.03,11175.198,4715.566,6.7224204809930175
Cabo Verde,17.62,6.52,10.0,-10.620000000000001,12.0,6643.2,0.77,537.498,4452.386,7.8055675753642
Cambodge,2.34,0.74,38.0,-2.3400000000000034,10.0,3928.4,0.09,16009.409,9947.79,0.9733863566840013
Cameroun,3.16,1.07,82.0,0.0,0.0,3554.5,-1.1,24566.073,5085.718,1.385810908044323
Canada,39.02,13.86,1433.0,163.0,182.0,48317.1,1.1,36732.095,5653.213,12.036711733938617
Chili,36.36,12.21,672.0,115.0,155.0,24470.7,0.42,18470.439,11663.39,11.579993225697187
Chine - RAS de Hong-Kong,53.51,22.26,280.0,663.0,907.0,59849.2,0.83,7306.322,9639.476,14.207136640557009
Chine - RAS de Macao,34.47,11.9,19.0,0.0,23.0,126184.0,1.43,622.585,9601.923,10.670519079406198
